date,temp,pressure,humidity,wind_speed,wind_deg,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,traffic_volume,speed_avg,seconds_zone
2017-01-01 00:00:00,294.2,1008,68,2.77,185,,,,,1,,,
2017-01-01 01:00:00,292.43,1009,73,2.94,198,,,,,1,,,
2017-01-01 02:00:00,291.33,1010,83,1.54,200,,,,,20,,,
2017-01-01 03:00:00,290.34,1010,83,1.54,140,,,,,1,,,
2017-01-01 04:00:00,289.07,1010,88,2.54,220,,,,,1,,,
2017-01-01 05:00:00,288.01,1010,88,1.82,224,,,,,1,,,
2017-01-01 06:00:00,287.82,1011,89,1.5,130,,,,,20,,,
2017-01-01 07:00:00,285.79,1010,93,1.46,290,,,,,20,,,
2017-01-01 08:00:00,286.09,1011,94,1.16,288,,,,,90,,,
2017-01-01 09:00:00,286.44,1011,88,2.57,0,,,,,90,,,
2017-01-01 10:00:00,286.16,1011,82,1.54,30,,,,,90,,,
2017-01-01 11:00:00,286.27,1012,71,2.82,310,,,,,90,,,
2017-01-01 12:00:00,285.75,1012,61,2.1,340,,,,,90,,,
2017-01-01 13:00:00,284.45,1012,58,1.54,330,,,,,1,,,
2017-01-01 14:00:00,284.24,1012,58,3.14,340,,,,,1,,,
2017-01-01 15:00:00,285.54,1013,58,2.92,352,,,,,1,,,
2017-01-01 16:00:00,287.84,1013,48,1.54,20,,,,,20,,,
2017-01-01 17:00:00,289.6,1013,48,0.96,17,,,,,1,,,
2017-01-01 18:00:00,291.54,1012,43,2.1,0,,,,,1,,,
2017-01-01 19:00:00,293.4,1011,43,2.06,0,,,,,1,,,
2017-01-01 20:00:00,294.86,1010,43,3.09,150,,,,,1,,,
2017-01-01 21:00:00,296.09,1009,47,2.06,0,,,,,1,,,
2017-01-01 22:00:00,296.45,1009,50,2.57,0,,,,,1,,,
2017-01-01 23:00:00,294.59,1009,60,2.06,0,,,,,1,,,
2017-01-02 00:00:00,292.72,1009,70,2.1,170,,,,,1,,,
2017-01-02 01:00:00,291.14,1009,78,2.06,110,,,,,1,,,
2017-01-02 02:00:00,289.42,1010,83,2.06,110,,,,,1,,,
2017-01-02 03:00:00,288.79,1010,94,2.06,130,,,,,1,,,
2017-01-02 04:00:00,287.92,1010,88,2.97,144,,,,,1,,,
2017-01-02 05:00:00,287.32,1010,94,2.57,100,,,,,1,,,
2017-01-02 06:00:00,288.98,1009,90,1.5,120,,,,,90,,,
2017-01-02 07:00:00,288.73,1009,90,1.5,0,,,,,90,,,
2017-01-02 08:00:00,289.92,1008,96,2.6,0,,,,,90,,,
2017-01-02 09:00:00,290.28,1008,94,2.06,140,0.3,0.3,,,90,,,
2017-01-02 09:00:00,290.28,1008,94,2.06,140,0.3,0.3,,,90,,,
2017-01-02 10:00:00,290.87,1008,100,1.54,0,0.3,,,,90,,,
2017-01-02 10:00:00,290.87,1008,100,1.54,0,0.3,,,,90,,,
2017-01-02 11:00:00,289.09,1010,93,4.1,330,0.5,,,,90,,,
2017-01-02 11:00:00,289.09,1010,93,4.1,330,0.5,,,,90,,,
2017-01-02 11:00:00,289.09,1010,93,4.1,330,0.5,,,,90,,,
2017-01-02 12:00:00,286.88,1010,93,3.6,300,0.7,,,,90,,,
2017-01-02 13:00:00,286.44,1010,94,3.37,304,7.6,,,,40,,,
2017-01-02 14:00:00,285.82,1011,100,1.54,290,,,,,1,,,
2017-01-02 15:00:00,288.16,1012,94,3.94,298,,5.1,,,1,,,
2017-01-02 16:00:00,290.35,1013,82,1.54,290,,,,,1,,,
2017-01-02 17:00:00,292.22,1014,64,4.12,300,,,,,1,,,
2017-01-02 18:00:00,292.91,1013,50,6.7,310,,,,,1,,,
2017-01-02 19:00:00,294.64,1012,46,4.12,290,,,,,1,,,
2017-01-02 20:00:00,295.76,1011,41,1.54,0,,,,,1,,,
2017-01-02 21:00:00,296.45,1011,38,3.6,270,,,,,1,,,
2017-01-02 22:00:00,296.16,1012,38,2.57,260,,,,,1,,,
